Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
mSecs,m/(sec^2),m/(sec^2),m/(sec^2)
1205949.249,-10.32919045,-0.206073209,1.696339544
1205959.015,-9.905353213,-0.124552581,1.772370961
1205968.781,-9.789420731,-0.243456848,1.827157622
1205978.546,-9.712534251,-0.203530041,1.823497941
1205988.312,-9.866262861,-0.323294953,1.83525234
1205998.077,-9.979864933,-0.119729866,2.013506703
1206007.843,-10.02106394,-0.20520481,1.739759485
1206017.609,-9.866262861,-0.323294953,1.83525234
1206027.374,-9.865633892,-0.162037015,1.898149225
1206037.14,-9.905175812,-0.284197778,1.790111109
1206046.906,-10.02016887,-0.283414668,1.829266591
1206056.671,-10.2124516,-0.323364735,1.831763237
1206066.437,-10.02003582,-0.403148566,1.842571701
1206076.202,-9.943818629,-0.124560334,1.771983283
1206085.968,-9.942834857,-0.282592791,1.870360463
1206095.734,-9.940863281,-0.23864964,2.067518008
1206105.499,-10.17420793,-0.123800485,1.809975731
1206115.265,-9.942967908,-0.162858893,1.857055353
1206125.031,-9.90665147,-0.047149093,1.642545339
1206134.796,-9.867379684,-0.045528599,1.72357005
1206144.562,-10.02155583,-0.126188582,1.690570895
1206154.327,-10.09978492,-0.048800602,1.559969916
1206164.093,-9.907546541,0.031060765,1.553038233
1206173.859,-9.904321059,0.037511727,1.875586363
1206183.624,-9.86791592,0.073398928,1.669946423
1206193.39,-9.90512743,0.035898987,1.79494933
1206203.156,-9.866887798,-0.124544827,1.772758639
1206212.921,-9.867020849,-0.004810929,1.759453529
1206222.687,-9.867512735,0.074205299,1.710264939
1206232.452,-9.8671539,0.114922968,1.746148419
1206242.218,-9.943862979,-0.084649035,1.767548247
1206251.984,-10.0584085,-0.122970854,1.851457282
1206261.749,-9.905216131,0.115721585,1.786079257
1206271.515,-9.675500143,-0.006384902,1.680754887
1206281.281,-9.791880161,0.151624293,1.581214673
1206291.046,-9.983622619,0.352754763,1.637738131
1206300.812,-9.752386624,-0.046311709,1.684414567
1206310.577,-9.714546145,0.152446171,1.622308545
1206320.343,-9.521549782,-0.086176487,1.691175672
1206330.109,-9.751939088,-0.085416638,1.72916812
1206339.874,-9.94556442,-0.008051918,1.597404108
1206349.64,-9.944133113,-0.205189303,1.740534841
1206359.406,-10.02025757,-0.20359207,1.820396517
1206369.171,-10.09822056,-0.365671885,1.716405759
1206378.937,-10.17416358,-0.163711785,1.814410768
1206388.702,-10.06024703,-0.286647903,1.667604848
1206398.468,-9.983271848,-0.326543695,1.67281524
1206408.234,-10.09768029,-0.124591349,1.770432571
1206417.999,-9.906248285,-0.046342723,1.682863855
1206427.765,-10.05854156,-0.003236957,1.838152171
1206437.531,-10.13641584,-0.24513937,1.743031487
1206447.296,-10.0583198,-0.202793453,1.860327355
1206457.062,-10.09597885,-0.201188466,1.94057671
1206466.827,-10.13739961,-0.087106914,1.644654307
1206476.593,-10.09723275,-0.163696278,1.815186124
1206486.359,-10.01949555,-0.16206803,1.896598513
1206496.124,-9.867512735,0.074205299,1.710264939
1206505.89,-9.983179115,-0.04635823,1.682088499
1206515.656,-10.05894474,-0.004043327,1.797833655
1206525.421,-9.983312166,0.073375668,1.668783389
1206535.187,-9.983046064,-0.166092128,1.69539361
1206544.952,-9.982550146,0.114899708,1.744985385
1206554.718,-9.827168477,-0.162029262,1.898536903
1206564.484,-9.866170129,-0.043109488,1.844525598
1206574.249,-9.943862979,-0.084649035,1.767548247
1206584.015,-9.867020849,-0.004810929,1.759453529
1206593.781,-9.98353795,-0.0870759,1.64620502
1206603.546,-9.866750715,0.115729339,1.786466935
1206613.312,-9.903784823,-0.0814158,1.92920999
1206623.077,-9.944620967,0.233834989,1.691749436
1206632.843,-9.90597815,0.074197545,1.709877261
1206642.609,-10.05961806,-0.125389965,1.730501733
1206652.374,-10.02133005,0.034262985,1.713149264
1206662.14,-9.980179417,-0.200358835,1.98205826
1206671.906,-9.982328394,-0.084656789,1.767160568
1206681.671,-10.05760213,-0.121358114,1.932094314
1206691.437,-9.864916223,-0.080601676,1.969916184
1206701.202,-9.94556442,-0.008051918,1.597404108
1206710.968,-10.02164453,-0.046365984,1.681700821
1206720.734,-10.0194512,-0.201979329,1.90103355
1206730.499,-9.942967908,-0.162858893,1.857055353
1206740.265,-9.942250238,-0.081423554,1.928822312
1206750.031,-9.825866189,0.120575314,2.028765711
1206759.796,-10.01926977,-0.001616462,1.919176882
1206769.562,-10.05804967,-0.082253185,1.887340761
1206779.327,-9.982413063,0.355173874,1.75869368
1206789.093,-10.13493212,0.237828073,1.891403627
1206798.859,-9.942830825,0.077415273,1.870763648
1206808.624,-9.868004621,0.153221527,1.661076349
1206818.39,-10.13632311,0.035046095,1.752304746
1206828.156,-9.904454111,0.157245625,1.862281253
1206837.921,-10.05737635,0.039093454,1.954672683
1206847.687,-10.17313143,-0.001647477,1.91762617
1206857.452,-9.943322711,0.156431501,1.821575058
1206867.218,-10.09678119,0.157206857,1.860342862
1206876.984,-10.02074543,0.235432222,1.771611112
1206886.749,-10.0965554,0.317658425,1.882921232
1206896.515,-9.90279702,0.120559807,2.027990355
1206906.281,-9.828865887,0.274575919,1.72879595
1206916.046,-9.905079048,0.355995751,1.799787552
1206925.812,-9.827208796,0.237890101,1.894505051
1206935.577,-9.789279617,0.356825382,1.841269103
1206945.343,-9.942201856,0.238673211,1.933660534
1206955.109,-9.789146566,0.237091484,1.854574213
1206964.874,-9.712171385,0.197195692,1.859784606
1206974.64,-9.787985392,-0.080586169,1.97069154
1206984.406,-9.788473246,0.358438123,1.921906135
1206994.171,-9.94238329,0.038310344,1.915517201
1207003.937,-9.90436541,0.077423027,1.871151326
1207013.702,-9.865452459,0.038325851,1.916292557
1207023.468,-9.865855644,0.037519481,1.875974041
1207033.234,-9.981163189,-0.042326378,1.883681081
1207042.999,-10.13583122,-0.043970133,1.801493336
1207052.765,-10.05939228,0.035061602,1.753080102
1207062.531,-10.0196286,-0.042334132,1.883293402
1207072.296,-10.09579741,-0.000825599,1.958720042
1207082.062,-10.09669652,-0.282623805,1.868809751
1207091.827,-9.943415444,-0.123753964,1.8123018
1207101.593,-9.944354865,-0.005632807,1.718359657
1207111.359,-9.634885751,-0.122079195,1.896040256
1207121.124,-9.444663302,-0.04624968,1.687515992
1207130.89,-9.635466338,0.036759632,1.837981593
1207140.656,-9.792372047,0.230640522,1.532026083
1207150.421,-10.17528041,0.11405457,1.702728478
1207160.187,-10.02011646,0.39669016,1.834507998
1207169.952,-10.05934389,0.355158366,1.757918324
1207179.718,-10.09727307,0.236223085,1.811154273
1207189.484,-10.17514332,0.354328735,1.716436774
1207199.249,-10.02293875,0.391045568,1.552278384
1207209.015,-10.25207416,0.354313228,1.715661418
1207218.781,-9.905437882,0.315278081,1.763904073
1207228.546,-9.944665318,0.273746288,1.687314399
1207238.312,-10.09834958,0.114070077,1.703503834
1207248.077,-9.867960271,0.113310228,1.665511386
1207257.843,-9.752382592,0.313696355,1.684817753
1207267.609,-9.906917572,0.192318702,1.615935118
1207277.374,-9.831151947,0.150003799,1.500189962
1207287.14,-9.868226373,0.352778023,1.638901165
1207296.906,-9.944217782,0.234641359,1.732067952
1207306.671,-9.830341544,0.511624604,1.58123018
1207316.437,-9.908707714,0.348738418,1.436920906
1207326.202,-9.907901344,0.350351159,1.517557938
1207335.968,-9.79174711,0.031890396,1.594519783
1207345.734,-10.05997286,0.193900429,1.695021439
1207355.499,-9.944624999,-0.126173075,1.691346251
1207365.265,-10.05818272,0.037480713,1.874035651
