Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
mSecs,m/(sec^2),m/(sec^2),m/(sec^2)
98934.60083,-10.33506083,-0.377813961,1.109301947
98944.36646,-10.10314748,-0.29552573,1.22371349
98954.13208,-9.872846875,-0.216462981,1.176850969
98963.89771,-9.989049491,-0.218098982,1.095050902
98973.66333,-9.989408326,-0.258816652,1.059167423
98983.42896,-10.02738186,-0.337840633,1.107968334
98993.19458,-10.02814388,-0.379364673,1.031766339
99002.96021,-9.949689005,-0.296301086,1.184945686
99012.72583,-9.798423856,-0.141463097,0.926845154
99022.49146,-9.951390446,-0.219703969,1.014801548
99032.25708,-10.02881316,-0.140703248,0.964837602
99042.02271,-9.951837982,-0.18059904,0.970047995
99051.78833,-9.91207431,-0.257994774,1.100261295
99061.55396,-9.872399339,-0.25556791,1.221604522
99071.31958,-10.14322564,-0.298758965,1.062051747
99081.08521,-9.95009219,-0.297107457,1.14462717
99090.85083,-9.990259046,-0.220518093,0.974095353
99100.61646,-9.952152466,-0.261228009,0.938599552
99110.38208,-9.873608895,-0.257987021,1.100648973
99120.14771,-9.950362324,-0.417647725,1.117613764
99129.91333,-9.872891225,-0.176551681,1.172415932
99139.67896,-9.988331821,-0.136663643,1.166817861
99149.44458,-9.873161359,-0.297091949,1.145402526
99159.21021,-9.911941259,-0.377728672,1.113566405
99168.97583,-9.79793197,-0.220479325,0.976033743
99178.74146,-9.950047839,-0.337018756,1.149062207
99188.50708,-9.797573135,-0.179761656,1.011917223
99198.27271,-9.875177285,-0.301123801,0.943809945
99208.03833,-9.83514348,-0.257979267,1.101036651
99217.80396,-9.797036899,-0.298689183,1.06554085
99227.56958,-10.0651296,-0.256413048,1.179347615
99237.33521,-9.989363975,-0.298727951,1.063602459
99247.10083,-9.989363975,-0.298727951,1.063602459
99256.86646,-9.796855466,-0.098326316,1.083684182
99266.63208,-9.834740294,-0.257172897,1.141355167
99276.39771,-10.14237492,-0.337057524,1.147123817
99286.16333,-10.06593597,-0.258025788,1.098710583
99295.92896,-9.948076264,-0.293075605,1.346219751
99305.69458,-10.18079598,-0.376976576,1.151171175
99315.46021,-10.10310313,-0.335437029,1.228148527
99325.22583,-9.719880285,-0.138222109,1.088894575
99334.99146,-10.10346196,-0.376154699,1.192265048
99344.75708,-9.987839935,-0.215679871,1.216006451
99354.52271,-9.873475844,-0.377720918,1.113954083
99364.28833,-10.10355067,-0.296332101,1.183394974
99374.05396,-9.797528785,-0.219672955,1.01635226
99383.81958,-9.911852558,-0.45755127,1.122436479
99393.58521,-10.02661984,-0.296316593,1.18417033
99403.35083,-9.91055027,-0.174946694,1.252665287
99413.11646,-9.873161359,-0.297091949,1.145402526
99422.88208,-9.720327821,-0.09911718,1.044141022
99432.64771,-9.873161359,-0.297091949,1.145402526
99442.41333,-10.02787374,-0.258824405,1.058779745
99452.17896,-9.798468207,-0.101551798,0.922410117
99461.94458,-9.949733355,-0.256389787,1.18051065
99471.71021,-9.911179239,-0.336204632,1.189768401
99481.47583,-9.681995456,0.020624472,1.031223589
99491.24146,-9.87329441,-0.177358052,1.132097416
99501.00708,-9.948926985,-0.254777046,1.261147682
99510.77271,-10.02742621,-0.297929334,1.103533298
99520.53833,-9.87320571,-0.25718065,1.140967489
99530.30396,-9.912743597,-0.019333349,1.033332558
99540.06958,-9.795827344,-0.296270072,1.186496398
99549.83521,-9.873028308,-0.416825847,1.158707636
99559.60083,-10.02827693,-0.259630775,1.018461228
99569.36646,-9.8359942,-0.219680708,1.015964582
99579.13208,-9.834695944,-0.297084196,1.145790204
99588.89771,-9.911134889,-0.376115931,1.194203438
99598.66333,-9.949689005,-0.296301086,1.184945686
99608.42896,-9.87320571,-0.25718065,1.140967489
99618.19458,-9.873161359,-0.297091949,1.145402526
99627.96021,-9.950628426,-0.178179929,1.091003543
99637.72583,-9.719702884,-0.297867306,1.106634722
99647.49146,-9.949467253,-0.495857583,1.20712087
99657.25708,-9.797528785,-0.219672955,1.01635226
99667.02271,-10.02603925,-0.45515542,1.242228994
99676.78833,-9.910417219,-0.294680592,1.265970397
99686.55396,-9.951257395,-0.339437867,1.028106658
99696.31958,-9.987573833,-0.455147667,1.242616672
99706.08521,-10.10355067,-0.296332101,1.183394974
99715.85083,-9.911223589,-0.296293333,1.185333364
99725.61646,-9.988646306,-0.217292612,1.135369418
99735.38208,-9.835635366,-0.178963039,1.051848061
99745.14771,-9.7971256,-0.218866584,1.056670776
99754.91333,-9.949777705,-0.216478488,1.176075613
99764.67896,-9.835768417,-0.059229141,1.038542951
99774.44458,-9.795109674,-0.214834733,1.258263357
99784.21021,-9.950539725,-0.258002528,1.099873617
99793.97583,-9.760809162,-0.103156785,0.842160762
99803.74146,-10.06531103,-0.456775914,1.161204283
99813.50708,-9.911941259,-0.377728672,1.113566405
99823.27271,-9.910461569,-0.254769293,1.26153536
99833.03833,-9.987618184,-0.415236367,1.238181635
99842.80396,-9.911985609,-0.337817373,1.109131369
99852.56958,-9.951434796,-0.17979267,1.010366511
99862.33521,-9.833264637,-0.494221581,1.288920937
99872.10083,-9.758974669,-0.2994878,1.025610011
99881.86646,-9.718985214,-0.216431966,1.178401681
99891.63208,-9.950539725,-0.258002528,1.099873617
99901.39771,-9.720864057,0.019810348,0.990517395
99911.16333,-10.06696409,-0.060082033,0.995898366
99920.92896,-9.949866406,-0.136655889,1.167205539
99930.69458,-9.834873346,-0.137438999,1.128050057
99940.46021,-9.756462826,-0.014464113,1.276794368
99950.22583,-9.798331124,0.138722368,0.936118412
99959.99146,-9.873338761,-0.137446752,1.127662379
99969.75708,-9.83442581,-0.176543928,1.17280361
99979.52271,-9.835365231,-0.058422771,1.078861467
99989.28833,-9.721134191,-0.10072992,0.963503989
99999.05396,-9.837425508,-0.022543323,0.872833849
100008.8196,-9.951567848,-0.060058772,0.9970614
100018.5852,-10.02885751,-0.100791949,0.960402565
100028.3508,-9.913328216,-0.220502586,0.974870709
100038.1165,-9.722343746,-0.103149031,0.84254844
100047.8821,-9.799185876,-0.182987137,0.850643158
100057.6477,-9.760361626,-0.142261714,0.886914315
100067.4133,-9.797528785,-0.219672955,1.01635226
100077.179,-10.26054911,-0.382636676,0.868166205
100086.9446,-10.18214262,-0.619669853,1.016507331
100096.7102,-9.987529483,-0.495058966,1.247051708
100106.4758,-9.80021803,-0.345051445,0.747427756
100116.2415,-10.14197576,-0.696259217,1.187039148
100126.0071,-10.02984532,-0.302767556,0.8616222
100135.7727,-10.18061858,-0.536621774,1.168911323
100145.5383,-10.10579238,-0.46081552,0.959224024
100155.304,-10.06616175,-0.418477356,1.076132214
100165.0696,-10.22208369,-0.382628922,0.868553883
100174.8352,-9.951837982,-0.18059904,0.970047995
100184.6008,-10.10686485,-0.222960465,0.85197677
100194.3665,-9.912925031,-0.219696215,1.015189226
100204.1321,-9.875177285,-0.301123801,0.943809945
100213.8977,-10.14573345,-0.223774588,0.811270576
100223.6633,-9.992678157,-0.225356315,0.732184256
100233.429,-9.916327914,-0.066501981,0.674900948
100243.1946,-10.03056299,-0.384202895,0.789855241
100252.9602,-9.913868484,-0.461583122,0.920843898
100262.7258,-9.878221333,-0.107211897,0.639405147
100272.4915,-9.990396129,-0.460792259,0.960387058
100282.2571,-10.1080744,-0.225379576,0.731021221
100292.0227,-9.913735433,-0.58131702,0.934149008
100301.7883,-9.875939305,-0.342647841,0.867607949
100311.554,-9.800040629,-0.504696642,0.765167903
100321.3196,-10.10839292,-0.666016608,0.699169594
100331.0852,-9.723291231,-0.705044001,0.747799927
100340.8508,-9.99505695,-0.6301139,0.49430501
100350.6165,-9.800177712,-0.744970808,0.751459608
100360.3821,-9.646719236,-0.745746164,0.712691804
100370.1477,-9.995278702,-0.430557403,0.472129826
100379.9133,-9.685676537,-0.666737689,0.663115536
100389.679,-10.11049755,-0.590225861,0.488706939
100399.4446,-9.955204578,-0.787332232,0.633388384
100409.2102,-9.800359145,-0.945333674,0.733316275
100418.9758,-9.684914517,-0.625213649,0.739317532
100428.7415,-9.800310763,-0.62523691,0.738154497
100438.5071,-9.763369387,-0.708277236,0.586138184
100448.2727,-9.803358843,-0.79133307,0.433346514
100458.0383,-9.801342917,-0.787301218,0.634939096
100467.804,-9.64931978,-0.950947253,0.452637374
100477.5696,-9.7627001,-0.946938662,0.653066921
100487.3352,-9.610584231,-0.830399231,0.480038458
100497.1008,-9.919384057,-0.952614268,0.369286595
100506.8665,-9.842183093,-0.832058493,0.397075357
100516.6321,-9.764445892,-0.830430245,0.478487745
100526.3977,-9.839897033,-0.707486373,0.625681344
100536.1633,-9.72463787,-0.947737278,0.613136083
100545.929,-9.879080118,-0.788929466,0.553526707
100555.6946,-9.763595171,-0.868728804,0.563559815
100565.4602,-9.878902716,-0.948574663,0.571266854
100575.2258,-9.72539989,-0.989261318,0.536934087
100584.9915,-9.955922247,-0.868767572,0.561621425
100594.7571,-9.610047995,-0.949326758,0.533662084
100604.5227,-9.72463787,-0.947737278,0.613136083
100614.2883,-9.726698146,-0.911857831,0.407108465
100624.054,-9.726117559,-1.070696657,0.465167128
100633.8196,-9.800899413,-1.186414211,0.679289464
