Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
mSecs,m/(sec^2),m/(sec^2),m/(sec^2)
2191366.241,-10.37043784,-0.611644918,1.417754104
2191376.007,-10.06302901,-0.692211858,1.389407085
2191385.773,-9.869492374,-0.68975398,1.512301024
2191395.538,-9.872181619,-0.81513247,1.243376521
2191405.304,-10.06289595,-0.811945756,1.402712196
2191415.07,-9.986501361,-0.693002721,1.349863925
2191424.835,-9.98645701,-0.732914021,1.354298962
2191434.601,-10.06455305,-0.775259938,1.237003094
2191444.366,-9.947229575,-0.691382227,1.430888636
2191454.132,-10.1007324,-0.650695572,1.465221403
2191463.898,-9.870972064,-0.812713359,1.36433207
2191473.663,-10.02456359,-0.692204105,1.389794763
2191483.429,-10.06191218,-0.969978212,1.501089375
2191493.195,-9.94758841,-0.732099897,1.395005156
2191502.96,-10.02169694,-0.726470812,1.676459414
2191512.726,-10.17873974,-0.772864088,1.356795608
2191522.491,-9.90880851,-0.651463174,1.426841277
2191532.257,-9.945975669,-0.728874416,1.556279221
2191542.023,-10.02330968,-0.729696293,1.515185349
2191551.788,-9.871238166,-0.573245563,1.337721849
2191561.554,-9.909211695,-0.652269545,1.386522761
2191571.32,-9.98721903,-0.774438061,1.278096966
2191581.085,-9.946915091,-0.610753258,1.462337078
2191590.851,-9.870790631,-0.612350492,1.382475402
2191600.616,-9.910421251,-0.654688656,1.265567212
2191610.382,-9.94602002,-0.688963116,1.551844184
2191620.148,-9.909256046,-0.612358246,1.382087724
2191629.913,-9.948886666,-0.654696409,1.265179534
2191639.679,-9.909078644,-0.772003443,1.399827871
2191649.445,-9.909389097,-0.492624348,1.368782613
2191659.21,-9.90880851,-0.651463174,1.426841277
2191668.976,-10.02429346,-0.571663837,1.416808169
2191678.741,-9.871238166,-0.573245563,1.337721849
2191688.507,-10.02523691,-0.813550743,1.322462841
2191698.273,-9.86922224,-0.569213711,1.53931443
2191708.038,-9.910421251,-0.654688656,1.265567212
2191717.804,-10.10189761,-0.693025982,1.348700891
2191727.57,-9.909973715,-0.693793585,1.310320765
2191737.335,-10.02760764,-0.498292201,1.085389965
2191747.101,-9.985876424,-0.891752847,1.412357625
2191756.866,-9.950366356,-0.777655788,1.117210579
2191766.632,-9.870927714,-0.852624658,1.368767106
2191776.398,-9.869806859,-0.770382948,1.480852582
2191786.163,-10.02420476,-0.651486435,1.425678243
2191795.929,-10.02483372,-0.812744373,1.362781357
2191805.695,-9.908316624,-0.730479403,1.476029867
2191815.46,-10.02528126,-0.773639444,1.318027804
2191825.226,-9.948261729,-0.853446535,1.327673234
2191834.991,-9.947229575,-0.691382227,1.430888636
2191844.757,-9.947096524,-0.811116125,1.444193746
2191854.523,-9.870568879,-0.811906988,1.404650586
2191864.288,-9.867923984,-0.646617199,1.669140053
2191874.054,-9.911497755,-0.776841665,1.157916773
2191883.82,-9.946915091,-0.610753258,1.462337078
2191893.585,-10.10261528,-0.774461321,1.276933932
2191903.351,-10.29252324,-0.769661867,1.516906639
2191913.116,-9.833268669,-0.854229645,1.288517752
2191922.882,-10.10261528,-0.774461321,1.276933932
2191932.648,-9.944766114,-0.726455305,1.67723477
2191942.413,-9.909211695,-0.652269545,1.386522761
2191952.179,-9.947140874,-0.771204826,1.439758709
2191961.945,-9.946423205,-0.689769487,1.511525668
2191971.71,-9.909393129,-0.852632411,1.368379428
2191981.476,-10.10301846,-0.775267692,1.236615416
2191991.241,-9.793412265,-0.651439914,1.428004311
2192001.007,-10.06289595,-0.811945756,1.402712196
2192010.773,-9.947140874,-0.771204826,1.439758709
2192020.538,-9.870613229,-0.771995689,1.400215549
2192030.304,-9.946201453,-0.889325983,1.533700852
2192040.07,-9.86998426,-0.610737751,1.463112434
2192049.835,-10.03011948,-0.783315888,0.834205609
2192059.601,-9.908538376,-0.530922906,1.453854683
2192069.366,-9.986186876,-0.612373753,1.381312368
2192079.132,-9.98569499,-0.691389981,1.430500958
2192088.898,-9.830176238,-0.728044785,1.597760772
2192098.663,-9.872540454,-0.855850139,1.207493041
2192108.429,-9.982872694,-0.685745389,1.712730572
2192118.195,-9.908360975,-0.690568103,1.47159483
2192127.96,-10.1007324,-0.650695572,1.465221403
2192137.726,-10.10100254,-0.77123584,1.438207997
2192147.491,-9.946378854,-0.729680786,1.515960705
2192157.257,-10.09907531,-0.68738139,1.630930505
2192167.023,-9.868774705,-0.60831864,1.584067983
2192176.788,-9.986501361,-0.693002721,1.349863925
2192186.554,-10.13915347,-0.690614625,1.469268762
2192196.32,-10.10135734,-0.451945446,1.402727703
2192206.085,-9.794085584,-0.772786552,1.360672389
2192215.851,-9.832458266,-0.492608841,1.369557969
2192225.616,-9.986993247,-0.613986493,1.300675335
2192235.382,-10.06114613,-0.568446109,1.577694556
2192245.148,-10.13910912,-0.730525924,1.473703798
2192254.913,-9.947048142,-0.491019361,1.449031968
2192264.679,-9.98408225,-0.6881645,1.591775023
2192274.445,-9.908852861,-0.611551875,1.42240624
2192284.21,-9.755394385,-0.612327231,1.383638436
2192293.976,-9.986678762,-0.533357524,1.332123778
2192303.741,-9.986634412,-0.573268824,1.336558815
2192313.507,-10.21792282,-0.854307181,1.284640971
2192323.273,-10.14211285,-0.936533383,1.173330852
2192333.038,-10.06338784,-0.732929528,1.353523606
2192342.804,-10.14148388,-0.775275445,1.236227738
2192352.57,-9.949559985,-0.776043048,1.197847612
2192362.335,-10.06688346,-0.859920759,1.00396207
2192372.101,-10.02559574,-0.854268413,1.286579362
2192381.866,-10.14179836,-0.855904414,1.204779295
2192391.632,-9.987085979,-0.894171958,1.291402076
2192401.398,-9.910961519,-0.895769192,1.2115404
2192411.163,-9.948842316,-0.694607709,1.26961457
2192420.929,-9.94991882,-0.816760717,1.161964132
2192430.695,-10.06374668,-0.773647197,1.317640126
2192440.46,-10.06302901,-0.692211858,1.389407085
2192450.226,-10.21801152,-0.774484582,1.275770898
2192459.991,-9.870923682,-0.492616594,1.369170291
2192469.757,-10.06199685,-0.53014755,1.492622487
2192479.523,-10.02501113,-0.653099176,1.34504121
2192489.288,-9.98641266,-0.77282532,1.358733999
2192499.054,-10.1007324,-0.650695572,1.465221403
2192508.82,-9.871012382,-0.412793996,1.360300218
2192518.585,-9.908223892,-0.450293937,1.485303125
2192528.351,-10.09978895,-0.408808665,1.559566731
2192538.116,-10.17806642,-0.651517449,1.424127531
2192547.882,-9.986856164,-0.373712327,1.314383631
2192557.648,-9.908405325,-0.650656804,1.467159793
2192567.413,-10.02442651,-0.451929939,1.403503059
2192577.179,-10.06356524,-0.573284331,1.335783459
2192586.945,-9.75584192,-0.573222302,1.338884883
2192596.71,-9.946915091,-0.610753258,1.462337078
2192606.476,-9.986186876,-0.612373753,1.381312368
2192616.241,-10.02523288,-0.453542679,1.322866026
2192626.007,-9.948705233,-0.454333543,1.283322866
2192635.773,-9.909880983,-0.41360812,1.319594024
2192645.538,-9.909614881,-0.653075915,1.346204244
2192655.304,-10.13897203,-0.490251758,1.487412094
2192665.07,-9.986408628,-0.412817256,1.359137184
2192674.835,-9.910868786,-0.615583727,1.220813659
2192684.601,-10.02491839,-0.372913711,1.354314469
2192694.366,-9.949019717,-0.534962512,1.251874423
2192704.132,-10.17967513,-0.294734867,1.263256651
2192713.898,-9.911090538,-0.416027231,1.198638475
2192723.663,-9.833442038,-0.334576384,1.27118079
2192733.429,-9.871907453,-0.334584138,1.270793112
2192743.195,-10.10261124,-0.414453258,1.277337117
2192752.96,-10.14125406,-0.254815814,1.259209292
2192762.726,-9.910776054,-0.335398262,1.230086917
2192772.491,-9.950672776,-0.13826863,1.086568507
2192782.257,-9.9873924,-0.2547848,1.260760004
2192792.023,-10.02724477,-0.097566467,1.12167663
2192801.788,-10.02885751,-0.100791949,0.960402565
2192811.554,-10.02868011,-0.260437146,0.978142712
2192821.32,-10.06768176,-0.141517372,0.924131407
2192831.085,-9.910776054,-0.335398262,1.230086917
2192840.851,-9.987662534,-0.375325068,1.233746598
2192850.616,-9.987706884,-0.335413769,1.229311561
2192860.382,-9.98967846,-0.37935692,1.032154017
2192870.148,-10.06562149,-0.177396819,1.130159026
2192879.913,-9.950003489,-0.376930055,1.153497244
2192889.679,-10.10520776,-0.259646283,1.017685872
2192899.445,-10.02706737,-0.257211664,1.139416777
2192909.21,-10.06732696,-0.460807766,0.959611702
2192918.976,-10.21800749,-0.414476518,1.276174083
2192928.741,-9.95009219,-0.297107457,1.14462717
2192938.507,-10.06463771,-0.335429276,1.228536205
2192948.273,-9.913239515,-0.300325184,0.983740783
2192958.038,-9.952196816,-0.22131671,0.934164515
2192967.804,-10.10440139,-0.258033542,1.098322905
2192977.57,-9.951926682,-0.100776442,0.961177921
2192987.335,-9.988513255,-0.337026509,1.148674529
2192997.101,-10.1458665,-0.104040691,0.797965466
2193006.866,-9.75910772,-0.179753902,1.012304901
2193016.632,-9.796589364,-0.337794112,1.110294403
2193026.398,-9.950628426,-0.178179929,1.091003543
2193036.163,-9.91283633,-0.299518814,1.024059299
2193045.929,-9.87320571,-0.25718065,1.140967489
2193055.695,-9.682580075,-0.180544765,0.972761741
2193065.46,-10.02760361,-0.138284137,1.085793151
2193075.226,-10.02585782,-0.254792553,1.260372326
2193084.991,-9.87329441,-0.177358052,1.132097416
2193094.757,-9.950942911,-0.258808898,1.059555101
2193104.523,-9.911042156,-0.095930466,1.203476697
2193114.288,-9.872935576,-0.136640382,1.167980895
2193124.054,-9.75906337,-0.219665201,1.016739938
2193133.82,-10.10529646,-0.179823684,1.008815799
2193143.585,-10.1037321,-0.496694967,1.165251642
2193153.351,-10.10453847,-0.498307708,1.084614609
2193163.116,-10.10328053,-0.175791832,1.21040838
2193172.882,-10.1427781,-0.337863894,1.1068053
2193182.648,-10.06410148,-0.454356803,1.282159832
2193192.413,-10.14273375,-0.377775193,1.111240337
2193202.179,-10.06522233,-0.536598513,1.170074357
2193211.945,-9.949959139,-0.416841354,1.15793228
2193221.71,-10.06660929,-0.379372427,1.031378661
2193231.476,-10.10476425,-0.658759275,1.06203624
2193241.241,-10.06656494,-0.419283726,1.035813697
2193251.007,-10.10503036,-0.41929148,1.035426019
2193260.773,-10.02711575,-0.577308429,1.134578555
2193270.538,-10.10516341,-0.299557582,1.022120909
2193280.304,-10.10619556,-0.46162189,0.918905507
2193290.07,-10.10507471,-0.37938018,1.030990983
2193299.835,-9.988739038,-0.497478077,1.12609616
2193309.601,-10.06701248,-0.380178797,0.991060144
2193319.366,-9.951301745,-0.299526568,1.023671621
2193329.132,-9.952511301,-0.301945679,0.902716072
2193338.898,-10.10458282,-0.458396409,1.080179572
2193348.663,-9.873741946,-0.138253123,1.087343863
2193358.429,-9.794932273,-0.37447993,1.276003505
2193368.195,-10.2204266,-0.41931474,1.034262985
2193377.96,-9.951571879,-0.420066836,0.996658215
2193387.726,-9.913062114,-0.459970381,1.00148093
2193397.491,-9.951930714,-0.460784505,0.960774736
2193407.257,-10.10552224,-0.340275251,0.98623743
2193417.023,-9.988561637,-0.657123274,1.143836307
2193426.788,-9.989363975,-0.298727951,1.063602459
2193436.554,-10.06781885,-0.381791538,0.910423112
2193446.32,-9.83742954,-0.382551387,0.872430664
2193456.085,-10.22154342,-0.141548386,0.922580695
2193465.851,-9.87481845,-0.260406132,0.979693424
2193475.616,-9.951886364,-0.500695805,0.965209773
2193485.382,-10.06508525,-0.296324347,1.183782652
